,rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeOn,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
1094,Basaltic andesite,-122.75,45.952,53.15,1.22,17.86,8.36,0.18,5.28,10.28,3.04,0.37,0.24
1095,Basaltic andesite,-122.866,45.978,53.17,1.09,18.22,8.2,0.16,5.35,10.22,3.0,0.41,0.19
1096,Basaltic andesite,-122.843,45.998,53.3,1.27,17.27,8.55,0.15,5.87,9.24,3.17,0.85,0.33
1097,Basaltic andesite,-122.805,45.97,53.29,0.94,18.02,8.23,0.18,5.98,9.98,2.88,0.29,0.18
1098,Basaltic andesite,-122.776,45.971,53.34,1.2,18.01,8.27,0.15,5.01,10.32,3.01,0.44,0.26
1099,Basaltic andesite,-122.753,45.993,53.59,1.14,18.93,7.82,0.14,4.51,10.03,3.16,0.42,0.25
1100,Basaltic andesite,-122.753,45.98,53.85,1.28,18.74,8.03,0.14,4.11,9.63,3.39,0.6,0.23
1101,Basaltic andesite,-122.766,45.931,53.97,1.31,17.34,8.2,0.16,5.45,9.4,3.25,0.66,0.28
1102,Basaltic andesite,-122.754,45.994,54.07,1.26,17.18,8.44,0.15,5.44,9.55,3.23,0.33,0.35
1103,Basaltic andesite,-122.828,45.972,54.55,1.05,17.92,8.12,0.13,4.68,9.46,3.11,0.77,0.21
1104,Basaltic andesite,-122.815,45.959,54.73,1.61,16.93,8.83,0.17,4.52,8.51,3.5,0.86,0.35
1105,Basaltic andesite,-122.769,45.99,54.9,1.31,18.14,8.1,0.15,3.84,9.31,3.45,0.55,0.25
1106,Basaltic andesite,-122.799,45.971,55.03,1.21,16.81,8.36,0.14,5.1,9.22,3.4,0.48,0.25
1107,Basaltic andesite,-122.866,45.953,55.21,1.57,16.24,9.39,0.18,4.29,8.52,3.61,0.73,0.26
1108,Basaltic andesite,-122.76,45.932,55.48,1.15,18.19,7.85,0.18,4.16,8.82,3.23,0.71,0.22
1109,Basaltic andesite,-122.856,45.963,55.6,1.54,16.71,9.07,0.17,3.94,8.02,3.97,0.62,0.35
1110,Basaltic andesite,-122.868,45.974,55.85,0.89,18.82,6.89,0.13,4.36,8.79,3.2,0.87,0.19
1111,Basaltic andesite,-122.784,45.978,56.79,1.77,15.65,9.62,0.18,3.65,7.33,4.07,0.62,0.33
1112,Andesite,-122.768,45.962,57.91,1.4,16.23,8.77,0.17,3.3,7.17,3.69,1.06,0.3
1113,Andesite,-122.768,45.943,60.04,1.04,16.41,6.29,0.11,3.95,6.5,3.8,1.62,0.24
1114,Andesite,-122.765,45.957,60.67,1.34,16.06,7.16,0.16,2.79,6.0,4.32,1.19,0.3
1115,Dacite,-122.788,45.971,64.09,0.93,16.26,5.08,0.11,2.19,5.08,4.22,1.83,0.22
1116,Dacite,-122.803,45.987,64.95,1.13,14.97,6.46,0.15,1.39,4.01,4.57,1.98,0.4
1117,Dacite,-122.781,45.982,65.58,1.25,14.96,5.63,0.11,1.55,4.04,3.86,2.64,0.38
1118,Basalt,-122.7122,45.9943,51.01,0.9,16.41,7.79,0.13,9.37,10.74,2.6,0.81,0.23
1119,Basalt,-122.793,45.949,51.35,1.84,16.57,10.1,0.18,5.79,10.19,2.98,0.6,0.4
1120,Basalt,-122.7002,45.9915,51.33,0.86,17.24,8.32,0.15,8.61,10.31,2.51,0.47,0.19
1121,Basaltic andesite,-122.7403,45.9497,52.0,1.83,16.5,9.91,0.17,5.56,10.17,2.89,0.56,0.4
1122,Basaltic andesite,-122.6958,45.9602,53.07,0.94,17.77,8.3,0.14,6.16,10.2,2.75,0.51,0.16
1123,Basaltic andesite,-122.7442,45.9513,53.08,0.86,17.94,7.36,0.14,7.17,10.26,2.55,0.46,0.18
1124,Basaltic andesite,-122.7293,45.9577,53.12,1.1,17.21,7.9,0.18,6.71,10.39,2.56,0.63,0.21
1125,Basaltic andesite,-122.7327,45.9543,53.22,1.14,17.43,7.76,0.14,6.46,10.53,2.59,0.49,0.23
1126,Basaltic andesite,-122.6897,45.997,53.62,0.99,19.02,7.59,0.12,4.68,10.33,3.0,0.48,0.15
1127,Basaltic andesite,-122.7397,45.9778,53.74,1.04,17.13,8.37,0.15,6.64,9.46,2.77,0.53,0.17
1128,Basaltic andesite,-122.6728,45.9553,53.77,1.32,17.69,8.54,0.14,5.05,9.27,3.2,0.76,0.27
1129,Basaltic andesite,-122.6813,45.9873,54.02,0.85,18.14,7.16,0.14,6.07,10.03,2.75,0.63,0.19
1130,Basaltic andesite,-122.7037,45.9648,54.13,1.35,18.06,8.9,0.15,3.87,9.19,3.5,0.62,0.22
1131,Basaltic andesite,-122.7027,45.9722,54.24,1.1,17.71,7.97,0.17,5.71,9.35,3.12,0.39,0.24
1132,Basaltic andesite,-122.6893,45.9492,54.25,1.1,17.83,8.21,0.16,5.33,9.02,3.24,0.65,0.22
1133,Basaltic andesite,-122.7425,45.9917,54.27,0.96,18.53,7.71,0.14,4.69,9.87,3.18,0.5,0.16
1134,Basaltic andesite,-122.7107,45.9913,54.41,1.08,17.95,7.99,0.15,5.46,9.31,3.13,0.3,0.22
1135,Basaltic andesite,-122.6312,45.9532,54.62,1.31,17.14,8.17,0.16,5.14,9.34,3.17,0.67,0.28
1136,Basaltic andesite,-122.7173,45.9827,54.64,1.15,18.15,7.73,0.15,4.87,9.37,3.21,0.53,0.2
1137,Basaltic andesite,-122.7308,45.9852,54.77,1.41,17.45,8.38,0.15,4.3,9.42,3.32,0.49,0.3
1138,Basaltic andesite,-122.7413,45.9777,55.13,1.23,18.25,7.75,0.15,3.87,9.26,3.36,0.77,0.23
1139,Basaltic andesite,-122.7192,45.9938,55.28,1.18,18.99,7.39,0.15,3.54,9.28,3.3,0.67,0.21
1140,Basaltic andesite,-122.6892,45.8867,55.49,1.24,17.89,7.61,0.16,4.09,9.43,3.08,0.74,0.27
