,rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeOn,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
3498,Granite,-121.3238,46.7848,70.43,0.42,15.51,3.46,0.04,0.63,2.72,4.18,2.51,0.11
3499,Granite,-121.3181,46.7885,70.61,0.4,15.72,2.66,0.04,0.74,2.97,4.42,2.35,0.1
3500,Granite,-121.3493,46.7787,70.62,0.37,15.1,3.2,0.07,1.03,2.61,4.41,2.5,0.09
3501,Granite,-121.428,46.8686,70.63,0.39,14.76,3.09,0.06,0.57,2.21,4.7,3.49,0.1
3502,Granite,-121.3326,46.781,70.71,0.41,14.87,3.37,0.06,0.6,2.74,4.22,2.92,0.1
3503,Granite,-121.2943,46.8219,71.0,0.34,15.03,3.03,0.04,0.45,2.61,4.41,3.0,0.08
3504,Granite,-121.3449,46.7677,71.27,0.32,14.59,3.51,0.06,0.58,2.28,4.12,3.19,0.08
3505,Granite,-121.3641,46.7903,71.35,0.3,15.09,2.56,0.05,0.44,2.49,4.65,3.0,0.07
3506,Granite,-121.3203,46.7898,71.35,0.36,15.25,2.76,0.04,0.59,2.79,4.05,2.72,0.09
3507,Granite,-121.4378,46.836,71.36,0.28,15.09,2.53,0.05,0.97,2.01,3.9,3.75,0.06
3508,Granite,-121.2944,46.803,71.42,0.38,14.95,2.7,0.03,0.74,3.1,3.95,2.64,0.09
3509,Granite,-121.3684,46.7861,71.47,0.31,14.86,3.19,0.04,0.83,1.84,4.15,3.23,0.07
3510,Granite,-121.2912,46.8251,71.63,0.33,15.08,2.72,0.04,0.44,2.58,4.44,2.66,0.08
3511,Granite,-121.314,46.795,71.65,0.32,14.99,2.77,0.04,0.46,2.76,3.95,2.98,0.08
3512,Granite,-121.3657,46.7801,71.66,0.31,14.97,2.64,0.05,0.4,1.98,4.4,3.52,0.07
3513,Granite,-121.3621,46.7969,71.66,0.38,15.41,3.01,0.05,0.39,2.05,4.25,2.71,0.09
3514,Granite,-121.3673,46.7831,71.72,0.31,14.74,3.02,0.04,0.88,1.82,4.28,3.12,0.07
3515,Granite,-121.353,46.8057,71.74,0.29,15.33,1.84,0.03,0.45,2.9,4.0,3.36,0.06
3516,Granite,-121.2879,46.8247,71.91,0.29,14.77,2.72,0.04,0.39,2.35,4.43,3.03,0.07
3517,Granite,-121.2915,46.8221,71.99,0.28,14.84,2.53,0.04,0.45,2.27,4.52,3.02,0.06
3518,Granite,-121.3633,46.7948,72.07,0.3,14.65,2.77,0.04,0.39,2.14,4.22,3.34,0.08
3519,Granite,-121.2935,46.8306,72.09,0.3,14.41,2.92,0.05,0.38,2.25,4.34,3.19,0.07
3520,Granite,-121.3623,46.7882,72.16,0.29,14.86,2.91,0.04,0.38,1.51,4.75,3.04,0.07
3521,Granite,-121.2914,46.8299,72.21,0.31,14.68,2.87,0.04,0.37,2.03,4.27,3.15,0.07
3522,Granite,-121.2954,46.7983,72.21,0.28,14.8,2.69,0.03,0.38,2.54,4.06,2.94,0.07
3523,Granite,-121.3475,46.7638,72.31,0.3,14.37,3.0,0.05,0.36,2.0,4.3,3.24,0.07
3524,Granite,-121.3227,46.7831,72.29,0.34,15.02,2.62,0.03,0.48,2.21,4.04,2.87,0.09
3525,Granite,-121.3625,46.7921,72.35,0.34,15.14,2.67,0.04,0.45,1.94,4.73,2.26,0.08
3526,Granite,-121.2929,46.83,72.42,0.3,14.5,2.71,0.05,0.35,2.26,4.4,2.94,0.07
3527,Granite,-121.4472,46.8958,72.67,0.24,14.69,2.37,0.03,0.61,2.11,3.98,3.24,0.05
3528,Granite,-121.3395,46.817,72.79,0.26,14.51,1.55,0.02,0.87,2.32,4.37,3.25,0.06
3529,Granite,-121.3714,46.8532,72.93,0.19,15.02,1.83,0.03,0.74,1.81,4.03,3.37,0.05
3530,Granite,-121.4489,46.896,73.15,0.24,14.34,2.23,0.04,0.3,2.0,4.26,3.39,0.05
3531,Granite,-121.3447,46.8161,73.22,0.22,14.83,1.67,0.02,0.27,2.37,3.89,3.47,0.05
3532,Granite,-121.4252,46.8353,73.3,0.24,14.12,2.24,0.04,0.38,1.83,4.04,3.75,0.05
3533,Granite,-121.3638,46.7938,73.35,0.23,14.43,1.87,0.04,0.18,1.8,4.26,3.79,0.05
3534,Granite,-121.4383,46.8409,73.38,0.25,14.28,2.03,0.03,0.74,1.97,3.65,3.62,0.05
3535,Granite,-121.3776,46.792,73.45,0.21,14.32,1.9,0.03,0.79,1.83,3.76,3.66,0.05
3536,Granite,-121.3009,46.8103,73.56,0.26,14.47,1.7,0.02,0.45,2.17,4.05,3.26,0.06
3537,Granite,-121.4246,46.8354,73.59,0.22,14.29,1.79,0.04,0.76,1.9,3.85,3.52,0.04
3538,Granite,-121.4264,46.8685,73.72,0.25,13.85,2.04,0.04,0.38,1.78,3.9,3.98,0.06
3539,Granite,-121.3574,46.8178,73.75,0.18,14.71,1.44,0.02,0.14,2.23,4.25,3.25,0.04
3540,Granite,-121.4569,46.8952,73.77,0.23,13.97,2.04,0.03,0.5,1.95,3.82,3.64,0.05
3541,Granite,-121.2933,46.797,73.84,0.25,13.81,2.14,0.03,0.17,1.95,3.86,3.88,0.07
3542,Granite,-121.4408,46.8442,73.85,0.2,14.08,1.81,0.04,0.58,1.68,3.69,4.03,0.04
3543,Granite,-121.3694,46.7974,73.94,0.21,14.09,1.66,0.03,0.83,1.64,3.56,4.0,0.04
3544,Granite,-121.4503,46.86,73.96,0.23,13.83,1.93,0.04,0.49,1.77,3.89,3.81,0.06
3545,Granite,-121.4595,46.8662,73.99,0.29,13.96,1.82,0.02,0.6,2.0,3.84,3.43,0.05
3546,Granite,-121.3524,46.799,73.73,0.29,13.81,3.08,0.03,0.33,1.66,3.92,3.09,0.05
3547,Granite,-121.4564,46.8609,74.05,0.21,14.28,1.66,0.02,0.73,2.06,3.48,3.46,0.05
3548,Granite,-121.3133,46.8015,74.12,0.25,14.69,1.07,0.02,0.27,2.18,4.1,3.25,0.05
3549,Granite,-121.4096,46.8549,74.14,0.28,13.44,2.01,0.04,0.68,1.47,3.3,4.57,0.06
3550,Granite,-121.4552,46.8951,74.15,0.21,13.54,2.08,0.04,0.36,1.78,3.52,4.28,0.04
3551,Granite,-121.4584,46.862,74.18,0.22,13.94,1.99,0.02,0.24,1.74,3.71,3.92,0.05
3552,Granite,-121.305,46.8111,74.26,0.24,13.69,1.98,0.02,0.27,2.11,3.84,3.54,0.05
3553,Granite,-121.457,46.8702,74.28,0.25,14.02,1.58,0.03,0.27,2.05,3.96,3.52,0.05
3554,Granite,-121.3717,46.7888,74.01,0.18,14.16,2.17,0.04,0.84,1.69,3.94,2.92,0.04
3555,Granite,-121.3024,46.8056,74.45,0.22,14.09,1.57,0.02,0.2,2.04,3.75,3.62,0.05
3556,Granite,-121.3479,46.8129,74.5,0.21,14.19,1.22,0.02,0.27,2.1,3.54,3.91,0.04
3557,Granite,-121.3732,46.7996,74.6,0.18,14.28,1.16,0.03,0.74,1.71,3.57,3.69,0.04
3558,Granite,-121.3049,46.8013,74.64,0.2,14.2,1.39,0.02,0.13,2.29,3.94,3.15,0.04
3559,Granite,-121.2898,46.8299,74.66,0.29,13.37,2.11,0.03,0.35,1.97,3.89,3.27,0.07
3560,Granite,-121.3615,46.8016,74.78,0.24,14.05,1.87,0.03,0.3,1.35,3.49,3.84,0.06
3561,Granite,-121.3165,46.7877,75.05,0.18,13.95,1.01,0.02,0.3,1.83,3.63,3.99,0.04
3562,Granite,-121.4005,46.8141,74.33,0.21,13.65,1.76,0.03,0.79,1.6,3.63,3.95,0.04
3563,Granite,-121.3766,46.7905,75.14,0.2,13.49,1.72,0.03,0.21,1.22,3.64,4.32,0.04
3564,Granite,-121.398,46.8125,75.15,0.19,13.29,1.54,0.04,0.21,1.52,3.98,4.03,0.04
3565,Granite,-121.3772,46.7941,75.21,0.15,13.55,1.32,0.03,0.9,1.33,3.31,4.17,0.03
3566,Granite,-121.3629,46.8016,75.27,0.18,13.88,1.63,0.02,0.17,1.66,3.73,3.41,0.04
3567,Granite,-121.4144,46.8615,75.32,0.19,13.05,1.7,0.03,0.25,1.21,3.52,4.7,0.03
3568,Granite,-121.4488,46.8778,75.33,0.22,13.11,1.58,0.02,0.59,1.19,2.74,5.18,0.04
3569,Granite,-121.4471,46.8774,75.03,0.29,13.23,1.78,0.03,0.32,1.48,3.57,4.22,0.05
3570,Granite,-121.3717,46.7988,75.44,0.21,13.85,1.0,0.05,0.16,2.02,4.34,2.9,0.03
3571,Granite,-121.4552,46.8952,75.94,0.12,13.59,1.09,0.02,0.2,1.54,3.38,4.1,0.02
3572,Granite,-121.4239,46.8683,76.18,0.16,13.22,0.76,0.02,0.16,1.41,3.51,4.55,0.03
3573,Granite,-121.3646,46.8119,76.23,0.13,13.06,1.1,0.02,0.36,1.02,3.27,4.78,0.03
3574,Granite,-121.4042,46.8139,76.26,0.15,13.05,1.23,0.02,0.07,1.23,3.43,4.54,0.03
3575,Granite,-121.3555,46.8169,76.3,0.15,13.03,1.21,0.02,0.08,1.05,3.54,4.6,0.02
3576,Granite,-121.3132,46.7947,75.36,0.2,13.8,1.04,0.01,0.1,1.65,3.59,4.21,0.04
3577,Granite,-121.3772,46.8609,75.42,0.17,13.47,1.56,0.02,0.12,1.52,3.73,3.95,0.03
3578,Granite,-121.4148,46.8587,76.78,0.13,12.7,1.13,0.01,0.12,0.95,3.21,4.94,0.03
3579,Granite,-121.3503,46.8093,77.1,0.17,13.2,1.08,0.03,0.7,1.23,3.17,3.3,0.03
3580,Granite,-121.4552,46.8952,77.2,0.1,12.96,0.87,0.02,0.48,0.59,2.84,4.93,0.02
3581,Granite,-121.3033,46.8035,77.28,0.14,12.86,0.68,0.01,0.16,1.61,3.35,3.88,0.03
3582,Granodiorite,-121.2938,46.7979,65.77,0.57,16.43,5.13,0.07,0.94,4.15,4.34,2.44,0.17
3583,Granite,-121.4655,46.8617,76.36,0.16,13.68,0.41,0.01,0.01,1.37,3.42,4.57,0.01
3584,Granite,-121.3629,46.8095,76.43,0.12,12.96,1.1,0.02,0.04,1.0,3.42,4.89,0.02
3585,Granodiorite,-121.4946,46.8897,67.8,0.66,16.48,3.99,0.11,2.06,2.08,4.2,2.45,0.17
3586,Granodiorite,-121.4425,46.8589,68.02,0.52,15.79,4.34,0.05,1.21,2.55,4.41,2.93,0.19
3587,Granodiorite,-121.3135,46.802,68.04,0.48,15.92,4.02,0.06,0.95,3.66,4.4,2.33,0.14
3588,Granodiorite,-121.2928,46.825,68.5,0.46,16.04,2.92,0.05,1.28,3.94,4.5,2.19,0.11
3589,Granodiorite,-121.4874,46.8899,68.64,0.55,15.18,4.17,0.08,1.39,2.96,4.26,2.64,0.13
3590,Granodiorite,-121.4946,46.8915,65.84,0.82,16.6,5.06,0.11,1.67,3.92,4.22,1.52,0.23
3591,Granodiorite,-121.3092,46.7875,65.88,0.63,16.73,4.42,0.07,1.39,4.67,4.37,1.66,0.19
3592,Granodiorite,-121.4016,46.8546,66.52,0.82,17.27,4.9,0.07,2.19,2.51,4.23,1.24,0.24
3593,Granodiorite,-121.317,46.7879,70.04,0.41,15.83,2.81,0.05,0.64,3.23,4.55,2.32,0.11
3594,Granodiorite,-121.457,46.8738,66.71,0.66,15.87,4.72,0.09,1.46,3.6,4.06,2.65,0.19
3595,Granodiorite,-121.4515,46.8787,69.81,0.48,15.05,3.32,0.07,1.46,3.36,3.56,2.78,0.11
3596,Quartz diorite,-121.2933,46.8118,61.9,0.83,16.67,6.91,0.16,2.06,5.11,3.94,2.17,0.25
3597,Granodiorite,-121.2954,46.804,69.34,0.52,15.77,3.6,0.04,0.99,3.59,4.39,1.62,0.14
3598,Granodiorite,-121.3491,46.7721,69.39,0.44,15.32,3.64,0.07,0.76,3.23,4.02,3.01,0.11
3599,Granodiorite,-121.2913,46.8021,69.64,0.43,16.11,3.42,0.04,0.69,3.15,4.78,1.62,0.12
3600,Quartz diorite,-121.2909,46.8018,63.18,0.72,17.38,6.04,0.11,1.29,5.13,4.03,1.87,0.25
3601,Quartz diorite,-121.2874,46.8214,64.04,0.56,17.53,5.54,0.1,0.86,4.65,4.69,1.83,0.19
3602,Quartz diorite,-121.3033,46.8035,64.69,0.58,17.31,5.38,0.09,0.77,4.21,4.46,2.3,0.21
3603,Quartz diorite,-121.2887,46.8218,65.23,0.54,16.89,5.02,0.08,0.68,4.3,4.74,2.33,0.19
3604,Quartz diorite,-121.2946,46.8031,62.69,0.67,18.6,4.68,0.06,1.62,4.34,5.16,1.97,0.21
3605,Quartz diorite,-121.2884,46.8103,62.74,0.81,17.32,6.25,0.08,1.41,4.64,4.87,1.65,0.24
3606,Quartz diorite,-121.4981,46.8963,62.96,1.0,16.9,6.29,0.15,2.01,4.96,4.4,1.06,0.27
3607,Quartz diorite,-121.2865,46.81,63.04,0.73,17.52,5.09,0.11,1.27,5.08,4.71,2.22,0.23
3608,Quartz diorite,-121.2902,46.8248,66.62,0.53,16.71,4.22,0.09,0.81,4.13,4.75,1.98,0.16
3609,Dacite,-121.4006,46.8739,66.26,0.69,18.62,3.92,0.08,0.72,2.9,5.31,1.44,0.05
3610,Monzogranite,-122.4462,44.1157,73.82,0.36,13.65,2.11,0.07,0.42,1.77,4.19,3.54,0.06
3611,Andesite,-122.326,44.2297,58.56,1.0,17.46,6.63,0.12,4.18,7.14,3.56,1.16,0.19
3612,Quartz monzonite,-122.6354,43.6102,67.01,0.72,15.07,4.68,0.13,1.75,4.31,3.72,2.44,0.15
3613,Quartz monzodiorite,-122.3681,44.5868,64.96,0.84,15.75,4.76,0.08,2.71,4.08,4.06,2.61,0.15
3614,Quartz monzodiorite,-122.4619,44.1207,70.64,0.5,15.25,2.45,0.03,0.83,2.64,4.16,3.4,0.1
3615,Quartz monzodiorite,-122.249,44.7165,62.85,0.86,16.73,5.27,0.08,3.04,5.37,4.05,1.55,0.19
3616,Granodiorite,-121.7787,46.7802,66.35,0.67,15.47,4.23,0.06,2.17,4.31,4.03,2.58,0.12
3617,Granodiorite,-121.7263,46.7832,65.62,0.69,15.55,4.46,0.07,2.5,4.73,3.9,2.35,0.12
3618,Granodiorite,-121.7298,46.7907,65.37,0.68,15.84,4.5,0.07,2.27,4.74,4.04,2.34,0.13
3619,Granodiorite,-121.7343,46.7774,65.39,0.71,15.57,4.49,0.07,2.53,4.83,3.92,2.34,0.13
3620,Granodiorite,-121.767,46.7644,67.11,0.66,15.31,4.05,0.08,1.72,3.86,3.82,3.27,0.12
3621,Granodiorite,-121.7163,46.7666,68.73,0.57,14.86,3.66,0.05,1.46,3.36,3.96,3.24,0.11
3622,Granodiorite,-121.7436,46.7732,65.56,0.69,15.67,4.45,0.08,2.44,4.69,3.85,2.45,0.12
3623,Granodiorite,-121.7489,46.7727,65.66,0.7,15.53,4.4,0.07,2.52,4.67,4.02,2.31,0.13
3624,Granodiorite,-121.7105,46.7689,69.79,0.51,14.61,3.07,0.03,1.31,3.08,3.98,3.54,0.09
3625,Granodiorite,-121.6801,46.7704,67.79,0.62,15.22,3.83,0.08,1.56,3.71,3.9,3.16,0.12
3626,Dacite,-121.7457,46.7921,66.1,0.6,16.79,4.06,0.06,2.08,4.14,4.51,1.5,0.16
3627,Granodiorite,-121.7456,46.7922,68.24,0.54,14.98,3.64,0.05,1.85,4.03,3.87,2.7,0.1
3628,Granodiorite,-121.7467,46.7687,65.98,0.66,15.75,4.34,0.07,2.1,4.57,3.93,2.46,0.13
3629,Granodiorite,-121.6957,46.7585,68.24,0.62,15.19,3.57,0.07,1.57,3.41,4.06,3.16,0.11
3630,Granodiorite,-121.7476,46.7571,67.89,0.6,15.06,3.88,0.09,1.56,3.56,3.87,3.38,0.11
3631,Granodiorite,-121.7218,46.7576,68.37,0.67,15.7,2.97,0.03,1.73,3.28,4.0,3.12,0.12
3632,Granodiorite,-121.7827,46.7863,66.68,0.69,15.4,4.12,0.07,2.0,4.25,3.97,2.69,0.12
3633,Dacite,-121.5361,46.8687,63.64,1.0,15.51,6.52,0.18,1.39,4.54,3.98,2.89,0.34
3634,Granodiorite,-121.6092,46.8938,66.49,0.55,16.17,3.86,0.03,1.97,4.83,4.25,1.72,0.13
3635,Granodiorite,-121.5885,46.9174,68.57,0.61,14.89,3.87,0.07,1.36,3.5,4.05,2.97,0.11
3636,Dacite,-122.8381,43.6821,63.48,1.17,15.4,6.81,0.13,1.97,5.03,3.69,2.0,0.31
3637,Rhyolite,-122.8011,43.5532,83.73,0.17,10.28,0.69,0.02,0.25,1.53,2.24,1.08,0.025
3638,Basaltic andesite,-122.8909,43.5281,54.82,1.3,18.69,8.47,0.13,3.69,8.53,3.38,0.73,0.26
3639,Andesite,-121.8033,47.169,60.53,0.94,17.19,6.16,0.13,3.27,7.84,3.08,0.66,0.21
3640,Andesite,-121.8109,47.1792,61.97,0.97,16.55,6.05,0.11,2.92,5.46,3.69,2.09,0.21
3641,Granite,-122.4493,44.1187,73.79,0.38,13.67,2.15,0.06,0.38,1.76,4.4,3.35,0.05
3642,Granite,-122.4413,44.1187,73.9,0.37,13.52,2.27,0.02,0.51,1.31,4.16,3.89,0.04
3643,Basaltic andesite dike,-122.4413,44.1187,54.56,1.26,17.63,8.48,0.17,4.45,7.34,3.81,2.03,0.27
3644,Andesite sill,-122.6852,43.3131,57.96,1.29,18.52,7.95,0.13,1.89,7.35,3.36,1.26,0.28
3645,Basaltic andesite sill,-122.6694,43.3074,56.61,1.44,17.16,9.74,0.19,2.63,7.14,3.64,1.21,0.25
3646,Andesite,-122.4447,43.4397,62.01,1.04,16.66,6.2,0.08,2.41,5.54,3.89,1.93,0.25
3647,Andesite,-122.4524,43.4339,60.26,0.96,17.15,6.44,0.1,3.02,6.52,3.74,1.58,0.22
3648,Dacite tuff,-122.4425,43.3246,68.21,0.86,15.58,3.92,0.16,1.22,3.23,3.94,2.71,0.19
3649,Basaltic andesite,-122.4115,43.3419,53.53,1.27,17.44,8.23,0.14,5.4,8.97,3.6,0.91,0.5
3650,Dacite,-122.5605,43.3476,68.28,0.8,15.24,4.09,0.11,1.18,3.22,4.32,2.57,0.2
3651,Andesite,-122.5232,43.0484,57.41,0.94,17.7,6.6,0.12,4.4,7.66,3.73,1.24,0.2
3652,Andesite,-122.2419,44.0669,58.13,1.04,17.61,6.9,0.12,3.91,7.55,3.4,1.18,0.15
3653,Dacite tuff,-122.2582,44.0957,66.94,1.0,15.58,4.88,0.14,1.68,3.52,4.0,2.04,0.22
3654,Basaltic andesite,-122.0819,43.9691,54.32,1.28,17.43,8.82,0.17,4.52,7.71,3.51,1.46,0.79
3655,Andesite,-122.193,43.9806,60.18,1.34,16.79,7.21,0.14,2.21,5.39,4.3,1.86,0.57
3656,Andesite,-122.2486,43.9864,57.32,1.05,18.67,6.74,0.1,3.11,7.44,3.98,1.31,0.29
3657,Andesite,-122.2411,44.0151,57.15,1.06,19.18,6.54,0.1,3.07,7.7,3.58,1.37,0.25
3658,Andesite,-122.0356,44.0842,62.48,0.76,16.99,5.53,0.1,2.59,5.67,4.01,1.7,0.16
3659,Andesite,-122.1317,44.1475,62.65,0.74,17.17,5.52,0.12,2.28,5.76,4.05,1.56,0.14
3660,Andesite,-122.1317,44.1475,61.24,0.81,17.91,5.62,0.1,2.65,6.31,3.87,1.33,0.16
3661,Andesite,-122.1317,44.1475,60.44,0.86,17.74,6.11,0.1,2.92,6.17,3.97,1.53,0.16
3662,Basaltic andesite dike,-122.0911,44.0784,53.71,1.0,17.98,7.72,0.13,6.72,8.42,3.44,0.72,0.16
3663,Andesite,-122.1631,44.113,62.2,0.85,17.27,5.77,0.09,2.57,5.46,3.74,1.88,0.14
3664,Andesite,-122.0435,44.8035,57.19,1.7,14.73,9.35,0.17,2.61,8.94,3.53,1.41,0.37
3665,Dacite,-122.341,44.792,68.16,0.49,15.43,4.84,0.18,0.56,2.65,5.43,2.12,0.14
3666,Diorite sill,-122.2446,44.7977,56.06,0.92,18.5,6.07,0.1,4.13,10.04,3.11,0.93,0.14
3667,Diorite sill,-122.2285,44.7977,55.4,1.09,18.07,7.33,0.13,4.92,8.84,2.92,1.01,0.28
3668,Andesite sill,-122.2367,44.8092,57.61,1.08,16.69,6.86,0.13,4.65,8.11,3.64,1.02,0.2
3669,Andesite sill,-122.2617,44.8668,59.85,0.84,17.55,6.04,0.1,3.52,6.96,3.41,1.57,0.15
3670,Dacite dike,-122.2932,44.8207,70.28,0.44,15.37,2.88,0.06,1.46,2.98,3.16,3.26,0.1
3671,Basaltic andesite,-122.2932,44.8207,56.52,1.03,17.92,7.12,0.12,4.91,8.16,3.14,0.86,0.22
3672,Diorite sill,-122.1566,44.838,59.5,1.31,20.54,8.11,0.09,2.23,3.85,1.96,2.36,0.05
3673,Dacite,-122.1566,44.838,67.52,0.46,16.57,3.4,0.08,2.0,4.97,3.67,1.26,0.08
3674,Basaltic andesite,-122.1483,44.8207,56.92,0.88,19.13,6.05,0.11,4.1,7.74,4.22,0.7,0.15
3675,Diorite sill,-122.196,44.7747,55.5,1.09,18.48,7.42,0.14,4.43,8.66,3.35,0.6,0.32
3676,Granodiorite stock,-122.3336,44.8323,72.49,0.58,16.79,1.72,0.01,1.79,2.6,2.95,0.99,0.09
3677,Granodiorite dike,-122.3329,44.7862,65.16,0.62,16.71,3.92,0.09,2.48,4.62,3.11,3.15,0.14
3678,Andesite,-122.4261,45.0567,58.49,0.93,17.87,6.7,0.12,3.72,6.87,3.99,1.16,0.15
3679,Rhyolite,-122.3368,45.0279,72.89,0.36,15.68,2.33,0.05,1.02,2.52,1.75,3.32,0.08
3680,Basaltic andesite,-122.2881,45.0164,54.82,0.97,17.66,6.83,0.12,6.38,7.86,4.27,0.86,0.24
3681,Andesite,-122.3287,45.0279,59.54,0.8,18.71,5.71,0.1,3.54,6.33,3.89,1.2,0.18
3682,Rhyolite,-122.1109,45.0509,73.69,0.44,13.9,2.67,0.07,0.42,3.03,2.59,3.14,0.05
3683,Andesite,-122.1111,45.0682,61.63,0.82,17.79,5.68,0.1,2.92,5.6,3.96,1.34,0.15
3684,Dacite dike,-122.1273,45.0682,66.67,0.65,16.64,3.72,0.07,0.9,4.19,4.73,2.26,0.16
3685,Diorite sill,-122.062,45.0106,53.87,0.87,20.71,6.74,0.12,3.77,9.38,3.85,0.57,0.11
3686,Basaltic andesite,-122.0937,44.9646,56.88,1.0,18.52,6.63,0.13,3.93,8.42,3.64,0.69,0.17
3687,Basaltic andesite,-122.1498,44.9301,55.46,0.85,19.06,6.81,0.14,5.29,7.89,3.51,0.83,0.15
3688,Andesite,-122.2306,44.9473,61.23,0.84,17.88,5.52,0.1,2.58,6.5,3.56,1.65,0.13
3689,Andesite dike,-122.2306,44.9473,60.36,0.79,18.59,5.51,0.11,2.93,7.12,3.41,1.03,0.13
3690,Andesite,-122.1993,45.0164,59.51,0.87,18.65,6.21,0.07,3.21,7.53,2.96,0.83,0.16
3691,Rhyolite dike,-122.1923,45.0912,75.61,0.12,13.73,1.5,0.02,0.74,1.14,4.38,2.73,0.03
3692,Andesite,-122.4151,44.8898,60.02,0.87,18.76,6.37,0.11,3.07,5.88,3.32,1.46,0.13
3693,Dacite tuff,-122.4946,44.8323,66.33,0.69,16.54,8.68,0.05,3.0,2.45,1.12,1.02,0.12
3694,Andesite,-122.3222,44.1245,59.29,1.02,17.25,6.57,0.13,3.44,7.32,3.64,1.07,0.27
3695,Basaltic andesite dike,-122.3457,44.1014,54.81,0.97,18.19,6.96,0.13,5.47,9.15,3.26,0.88,0.18
3696,Andesite dike,-122.2898,44.0842,62.18,0.75,17.88,5.38,0.1,3.27,5.38,3.59,1.25,0.21
3697,Andesite dike,-122.3607,44.0497,57.64,1.8,16.05,9.42,0.17,3.44,6.11,3.82,1.23,0.32
3698,Andesite,-122.533,44.3316,57.15,1.76,16.02,9.64,0.24,2.9,7.07,3.68,1.15,0.39
3699,Basalt,-122.589,44.3374,51.87,1.54,20.46,8.56,0.11,3.73,10.13,2.73,0.57,0.28
3700,Basaltic andesite,-122.5332,44.3431,55.02,1.9,15.95,9.64,0.19,4.2,7.97,3.55,1.03,0.55
3701,Dacite,-122.6199,44.2913,64.23,0.75,16.11,7.49,0.2,0.62,4.88,4.39,0.99,0.33
3702,Andesite,-122.4436,44.2396,58.81,1.14,17.51,6.55,0.11,3.17,7.35,3.37,1.75,0.24
3703,Gabbro sill,-122.5931,44.1532,52.08,1.33,20.53,7.7,0.13,3.54,10.8,3.18,0.5,0.21
3704,Andesite sill,-122.5132,44.136,59.06,1.03,17.6,6.47,0.12,3.15,7.46,3.43,1.48,0.2
3705,Rhyolite,-122.5132,44.136,77.37,0.26,12.64,1.36,0.03,0.31,1.44,2.78,3.79,0.03
3706,Granite,-122.4417,44.136,72.43,0.49,14.38,2.67,0.03,0.62,1.35,4.05,3.91,0.07
3707,Andesite,-122.3603,44.0266,59.11,0.74,18.97,5.74,0.11,3.57,7.33,3.46,0.79,0.17
3708,Basaltic andesite,-122.3843,44.0382,56.15,0.98,17.93,7.01,0.15,4.93,8.76,3.21,0.7,0.18
3709,Andesite,-122.2963,43.9921,61.5,0.87,16.7,5.79,0.1,3.19,6.02,4.03,1.64,0.16
3710,Andesite,-122.2884,43.9921,61.33,1.35,16.71,6.58,0.12,1.81,5.03,4.92,1.79,0.37
3711,Andesite,-122.2155,43.8885,61.97,0.63,18.11,5.14,0.1,2.47,6.38,3.88,1.2,0.12
3712,Andesite,-122.2155,43.8885,57.03,0.93,18.61,6.42,0.1,4.56,7.92,3.53,0.77,0.13
3713,Basaltic andesite,-122.2155,43.8885,56.13,0.91,17.14,6.96,0.12,6.34,8.3,3.37,0.6,0.12
3714,Basaltic andesite,-122.2246,43.9691,56.95,1.26,17.55,7.6,0.16,3.49,6.73,4.3,1.39,0.57
3715,Andesite,-122.2324,43.9633,61.17,0.82,18.16,5.68,0.1,2.3,6.13,4.21,1.21,0.22
3716,Andesite,-122.1846,43.9461,59.44,0.83,19.06,5.73,0.12,2.87,7.02,3.87,0.84,0.22
3717,Andesite,-122.1768,43.9518,57.66,1.11,17.71,7.11,0.12,4.03,7.08,3.57,1.35,0.24
3718,Basaltic andesite dike,-122.1849,43.9633,53.27,1.14,17.21,8.37,0.16,6.55,8.99,3.17,0.84,0.29
3719,Andesite,-122.1849,43.9633,61.64,1.12,17.27,6.01,0.15,1.81,5.04,4.94,1.75,0.26
3720,Andesite,-122.1849,43.9633,60.8,1.31,16.66,6.96,0.17,2.02,4.94,5.05,1.7,0.39
3721,Andesite,-122.1137,43.9749,58.22,0.98,17.34,6.75,0.13,3.31,6.62,4.48,1.65,0.52
3722,Basaltic andesite,-122.1137,43.9749,53.45,1.27,17.98,8.79,0.17,4.54,7.67,3.87,1.45,0.81
3723,Basaltic andesite,-122.1137,43.9749,53.86,1.3,17.67,8.88,0.19,4.59,7.66,3.76,1.35,0.74
3724,Basaltic andesite,-122.1137,43.9749,54.49,1.21,17.54,8.4,0.14,4.77,7.84,3.73,1.2,0.67
3725,Basaltic andesite,-122.1137,43.9749,52.01,0.97,17.53,7.77,0.14,6.93,10.82,2.95,0.66,0.21
3726,Basalt,-122.1137,43.9749,49.5,1.1,17.28,9.39,0.18,8.82,10.59,2.32,0.59,0.24
3727,Andesite,-122.2357,44.1878,61.72,1.42,15.98,6.54,0.14,2.33,5.44,4.42,1.41,0.58
3728,Andesite,-122.1961,44.1993,60.05,0.79,17.74,6.35,0.11,3.44,6.33,3.58,1.36,0.26
3729,Andesite,-122.2041,44.205,58.97,1.0,18.36,6.87,0.12,3.2,6.34,3.96,0.99,0.2
3730,Dacite,-122.2041,44.205,65.24,1.25,14.97,6.02,0.14,1.48,4.27,5.03,1.26,0.34
